requested_blocks,requested_threads,final_blocks,final_threads,returncode,gpu_baseline_ns,gpu_branched_ns,cpu_baseline_ns,cpu_branched_ns,log_file
1,8,1,8,0,167019028,153590388,8178222,2368864,sweep_out/logs/run_blocks1_threads8.txt
1,16,1,16,0,73865797,77594103,4934805,2281088,sweep_out/logs/run_blocks1_threads16.txt
1,32,1,32,0,37244964,39502534,5352118,3085483,sweep_out/logs/run_blocks1_threads32.txt
1,64,1,64,0,18831465,20032581,5652670,2916100,sweep_out/logs/run_blocks1_threads64.txt
1,128,1,128,0,9582683,10099384,8180401,2218909,sweep_out/logs/run_blocks1_threads128.txt
1,256,1,256,0,4869126,5188124,5506262,2326919,sweep_out/logs/run_blocks1_threads256.txt
1,512,1,512,0,2548084,2649141,5122168,2644077,sweep_out/logs/run_blocks1_threads512.txt
1,1024,1,1024,0,1442338,1523561,4940602,2226332,sweep_out/logs/run_blocks1_threads1024.txt
4,8,4,8,0,43433651,46703031,5331692,2793277,sweep_out/logs/run_blocks4_threads8.txt
4,16,4,16,0,18654584,19957310,6390867,2805305,sweep_out/logs/run_blocks4_threads16.txt
4,32,4,32,0,9698629,10235229,5618381,2336402,sweep_out/logs/run_blocks4_threads32.txt
4,64,4,64,0,4906414,5154804,10156201,3337912,sweep_out/logs/run_blocks4_threads64.txt
4,128,4,128,0,2540424,2621980,5521495,2395289,sweep_out/logs/run_blocks4_threads128.txt
4,256,4,256,0,1359310,1427849,5296898,2753425,sweep_out/logs/run_blocks4_threads256.txt
4,512,4,512,0,771421,860158,5217068,2365192,sweep_out/logs/run_blocks4_threads512.txt
4,1024,4,1024,0,470451,530629,5405961,2572882,sweep_out/logs/run_blocks4_threads1024.txt
16,8,16,8,0,11007537,11885003,4977356,2232871,sweep_out/logs/run_blocks16_threads8.txt
16,16,16,16,0,5344004,5633505,6123581,2704358,sweep_out/logs/run_blocks16_threads16.txt
16,32,16,32,0,2792979,2948032,9112798,2589276,sweep_out/logs/run_blocks16_threads32.txt
16,64,16,64,0,1508593,1624387,5202767,2383722,sweep_out/logs/run_blocks16_threads64.txt
16,128,16,128,0,801908,863199,4929242,2408469,sweep_out/logs/run_blocks16_threads128.txt
16,256,16,256,0,425735,486812,6268436,2716108,sweep_out/logs/run_blocks16_threads256.txt
16,512,16,512,0,327800,319955,7329014,2380887,sweep_out/logs/run_blocks16_threads512.txt
16,1024,16,1024,0,262143,281460,4974360,2252218,sweep_out/logs/run_blocks16_threads1024.txt
64,8,64,8,0,2928640,3095081,4954678,2236150,sweep_out/logs/run_blocks64_threads8.txt
64,16,64,16,0,1483217,1556981,5127762,2339922,sweep_out/logs/run_blocks64_threads16.txt
64,32,64,32,0,820253,788747,8583760,2352106,sweep_out/logs/run_blocks64_threads32.txt
64,64,64,64,0,514380,541414,5088872,2219761,sweep_out/logs/run_blocks64_threads64.txt
64,128,64,128,0,297362,373488,5092917,2379662,sweep_out/logs/run_blocks64_threads128.txt
64,256,64,256,0,263400,269669,4977074,2306379,sweep_out/logs/run_blocks64_threads256.txt
64,512,64,512,0,258303,385925,5664145,2436966,sweep_out/logs/run_blocks64_threads512.txt
64,1024,64,1024,0,306321,374175,6096039,2311417,sweep_out/logs/run_blocks64_threads1024.txt
256,8,256,8,0,870740,955903,6533695,2452730,sweep_out/logs/run_blocks256_threads8.txt
256,16,256,16,0,449857,484980,8608811,2495969,sweep_out/logs/run_blocks256_threads16.txt
256,32,256,32,0,301907,401289,7967850,2448291,sweep_out/logs/run_blocks256_threads32.txt
256,64,256,64,0,265776,360486,6686777,2728741,sweep_out/logs/run_blocks256_threads64.txt
256,128,256,128,0,324766,308473,6975318,2696156,sweep_out/logs/run_blocks256_threads128.txt
256,256,256,256,0,260552,282832,6018561,2269468,sweep_out/logs/run_blocks256_threads256.txt
256,512,256,512,0,263761,344312,5920351,2653809,sweep_out/logs/run_blocks256_threads512.txt
256,1024,256,1024,0,255516,276074,5157703,2832711,sweep_out/logs/run_blocks256_threads1024.txt
1024,8,1024,8,0,509136,543424,5128876,2390434,sweep_out/logs/run_blocks1024_threads8.txt
1024,16,1024,16,0,302353,409727,6832671,2583973,sweep_out/logs/run_blocks1024_threads16.txt
1024,32,1024,32,0,266459,276552,7882054,2208406,sweep_out/logs/run_blocks1024_threads32.txt
1024,64,1024,64,0,279759,359589,5313528,2256152,sweep_out/logs/run_blocks1024_threads64.txt
1024,128,1024,128,0,258145,316542,5325284,2561943,sweep_out/logs/run_blocks1024_threads128.txt
1024,256,1024,256,0,279103,288428,5142438,2275282,sweep_out/logs/run_blocks1024_threads256.txt
1024,512,1024,512,0,247601,262143,5122452,2394991,sweep_out/logs/run_blocks1024_threads512.txt
1024,1024,1024,1024,0,249727,262501,5328286,2255483,sweep_out/logs/run_blocks1024_threads1024.txt
4096,8,4096,8,0,492581,534458,5697088,2273109,sweep_out/logs/run_blocks4096_threads8.txt
4096,16,4096,16,0,307070,332396,8813527,2462006,sweep_out/logs/run_blocks4096_threads16.txt
4096,32,4096,32,0,300421,274776,5744526,2225183,sweep_out/logs/run_blocks4096_threads32.txt
4096,64,4096,64,0,293594,269840,5057359,2246166,sweep_out/logs/run_blocks4096_threads64.txt
4096,128,4096,128,0,264918,276035,5138250,2550585,sweep_out/logs/run_blocks4096_threads128.txt
4096,256,4096,256,0,251246,259269,5057181,2205524,sweep_out/logs/run_blocks4096_threads256.txt
4096,512,4096,512,0,249803,270814,5112357,2318044,sweep_out/logs/run_blocks4096_threads512.txt
4096,1024,4096,1024,0,295125,327575,6414625,3543092,sweep_out/logs/run_blocks4096_threads1024.txt
16384,8,16384,8,0,472830,494879,8728631,2497786,sweep_out/logs/run_blocks16384_threads8.txt
16384,16,16384,16,0,288237,298799,7225011,2424696,sweep_out/logs/run_blocks16384_threads16.txt
16384,32,16384,32,0,255945,288251,5322666,2687816,sweep_out/logs/run_blocks16384_threads32.txt
16384,64,16384,64,0,257489,260495,4961066,2390335,sweep_out/logs/run_blocks16384_threads64.txt
16384,128,16384,128,0,250874,282151,5414666,2608371,sweep_out/logs/run_blocks16384_threads128.txt
16384,256,16384,256,0,293865,280051,4911159,2333692,sweep_out/logs/run_blocks16384_threads256.txt
16384,512,16384,512,0,290358,321295,5082723,2252002,sweep_out/logs/run_blocks16384_threads512.txt
16384,1024,16384,1024,0,381692,472270,5236532,2349271,sweep_out/logs/run_blocks16384_threads1024.txt
