threads,blocks,repeat,frames_collected,fr_up_ms_mean,fr_up_ms_std,lg_up_ms_mean,lg_up_ms_std,self_diff_ms_mean,self_diff_ms_std,cross_diff_ms_mean,cross_diff_ms_std,total_gpu_ms_mean,total_gpu_ms_std,fps_estimate,heat_self_mean_avg,heat_cross_mean_avg,nonzero_diff_pixels_avg,run_dir
128,0,1,2500,0.8682975336,1.2096035163815673,0.9315285496,1.2162871361584322,0.0729719432,0.11863960639081116,0.0390038048,0.17931254295235544,0.9412898208,1.2294578118993091,1062.3720536466678,33.58843352,35.77146524,345600.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t128_b0_r1
128,60,1,2500,1.1204651744,1.463647279901557,1.2114785968,1.4750906370166166,0.023123648,0.008575733059459047,0.0653126408,0.33881228661273144,1.2313742656,1.4988593784035065,812.1007787285042,0.40212905120000003,0.6653265,7680.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t128_b60_r1
128,120,1,2500,1.1291379448,1.4876886388779087,1.2104585472,1.500164666732297,0.0263307632,0.15100711704750186,0.04328466,0.047511933433315764,1.215210804,1.5038958806866638,822.9024928912663,0.8233303980000001,1.3239745760000001,15360.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t128_b120_r1
128,240,1,2500,0.7716845728,0.3608397587339349,1.019747288,0.459541959186859,0.068110272,0.026762993356382495,0.0876089984,0.033287860341272124,1.0211967848,0.45861244505883136,979.2431927758649,1.855752284,2.257674948,30720.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t128_b240_r1
256,0,1,2500,0.7467617824,0.33214380711080416,0.9880342728,0.4397369257352241,0.2452545792,0.10832597876650095,0.09408243200000001,0.03818144826343251,0.9890022456,0.43897865383519874,1011.1200499785801,33.58843352,35.77146524,345600.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t256_b0_r1
256,60,1,2500,0.7734499184,0.3504650745148966,1.0234592,0.4488380477548134,0.0587829376,0.02253028509132152,0.081230912,0.029544322192329574,1.0245440912,0.4477880130604891,976.0438897546591,0.8233303980000001,1.3239745760000001,15360.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t256_b60_r1
256,120,1,2500,0.780478608,0.3508500453625205,1.0326625,0.4465686976493768,0.069521408,0.025980529234448956,0.09042591999999999,0.03234797127644144,1.034202072,0.44526523330084217,966.9290239054945,1.855752284,2.257674948,30720.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t256_b120_r1
256,240,1,2500,0.7684056192000001,0.3431096641291284,1.0172534512,0.44220130215821546,0.0877334784,0.03457725954229044,0.0969206528,0.03653325936569313,1.0189100392,0.44198960260469966,981.4409138466757,4.468870228,3.863475928,61440.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t256_b240_r1
512,0,1,2500,0.7500234936,0.32908501743588614,0.9917904504,0.43558855001029995,0.2526724096,0.11021814193286276,0.0944265088,0.03731074167996941,0.9926221416,0.4348925725694298,1007.4326957769729,33.58843352,35.77146524,345600.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t512_b0_r1
512,60,1,2500,0.778045204,0.3541416013906299,1.0295470264,0.4496260179940602,0.0706954624,0.026537804934698105,0.0941213056,0.03365912245067997,1.0309871272,0.4485528810398117,969.9442152258912,1.855752284,2.257674948,30720.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t512_b60_r1
512,120,1,2500,0.7718482816,0.34960034581970484,1.0210935592,0.4491536132095109,0.0878198912,0.0341761508302382,0.09764544,0.03635356669433908,1.022502788,0.44823893119359687,977.9924433809955,4.468870228,3.863475928,61440.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t512_b120_r1
512,240,1,2500,0.7663797072,0.35874691857514307,1.012578364,0.4577872348570042,0.1231851648,0.050289891875107115,0.09684919040000001,0.03699127177097107,1.0141310688,0.4568399164049749,986.0658358325211,11.631826204,11.203433208,122880.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t512_b240_r1
768,0,1,2500,0.767139284,0.33439787246809904,1.0124674256,0.4347119770803396,0.268299072,0.11108965820382541,0.1010350464,0.03797982796617677,1.0137781592,0.4339971523190859,986.4090984058361,33.58843352,35.77146524,345600.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t768_b0_r1
768,60,1,2500,0.7697307096,0.3486157495070936,1.0178624592,0.45017606899144935,0.0844709632,0.03333900743896032,0.1017402112,0.03731825627092235,1.0196965216,0.4482380969797118,980.6839376395103,3.137286932,3.059412712,46080.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t768_b60_r1
768,120,1,2500,0.7620086568,0.3462741940239131,1.0077188184,0.44990739068243646,0.107570432,0.043549108926919586,0.09974688,0.03800658949980862,1.0095715912,0.4484334996767171,990.5191555671421,8.110875156,6.9590312679999995,92160.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t768_b120_r1
768,240,1,2500,0.7772020376,0.3667278311746031,1.0279977104,0.47937091462752607,0.1662270208,0.06652067320577768,0.1005625856,0.03697308028325643,1.0294874008,0.4776172585965359,971.3572008971788,18.644262028,19.520236168,184320.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t768_b240_r1
1024,0,1,2500,0.7552323352,0.32355635158131185,0.9969972776,0.4290595016409168,0.3307376768,0.1411318187781203,0.10218624,0.04030833216468227,0.9981985464,0.42834696395089045,1001.8047046917638,33.58843352,35.77146524,345600.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t1024_b0_r1
1024,60,1,2500,0.7645723968,0.3651165744723363,1.0102084592,0.4656343902863061,0.10740496640000001,0.04326266694225928,0.1041795328,0.04017692357872395,1.0117265256,0.46466039271577436,988.4093919618786,4.468870228,3.863475928,61440.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t1024_b60_r1
1024,120,1,2500,0.7761337712,0.34367618582432613,1.0241027904,0.44262070370368956,0.1472706048,0.05757087212113546,0.105510784,0.03881584255178478,1.0262858688,0.4409492097681492,974.3873811390044,11.631826204,11.203433208,122880.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t1024_b120_r1
1024,240,1,2500,0.7659899608,0.3668130987911642,1.0100303728,0.46399421008972486,0.2400796552,0.10558028664752783,0.103587712,0.03970058458629108,1.012025204,0.46309946861449236,988.1176832825204,25.7583746,27.88141312,245760.0,/mnt/c/Users/drena/OneDrive/Desktop/CodingRepos/GPU-Programming/StreamsHW/runner_results/t1024_b240_r1
